lat,long
52.97,122.52
53.47,122.37
52.35,124.72
52.03,123.57
51.67,124.40
51.73,126.63
50.40,124.12
50.25,127.45
49.17,125.23
49.43,127.35
49.55,128.47
48.48,124.85
48.50,126.18
48.25,126.50
48.05,125.88
48.03,126.25
48.88,130.40
48.57,129.43
47.33,123.18
47.93,123.50
47.80,124.48
47.38,123.92
47.18,124.83
47.90,125.30
47.60,126.10
47.45,126.97
47.18,125.90
47.23,127.10
48.10,129.23
47.70,128.83
47.33,130.20
47.57,130.83
47.67,132.53
48.37,134.28
47.32,131.83
47.23,131.98
46.83,124.42
46.40,123.45
46.57,125.13
46.68,126.08
46.83,126.45
46.62,126.97
46.38,125.32
46.07,125.93
46.28,126.28
46.88,127.48
46.98,127.98
46.08,127.35
46.73,129.88
46.78,130.30
46.30,129.58
47.00,130.72
46.22,130.55
46.73,131.12
46.63,131.15
46.32,132.18
46.80,134.00
45.70,125.25
45.93,126.57
45.50,125.08
46.08,126.77
45.53,126.93
45.73,127.38
45.95,128.03
45.97,128.73
45.83,128.80
45.43,128.27
45.22,127.97
45.77,131.02
45.75,130.60
45.30,130.92
45.27,130.23
45.77,132.97
45.55,131.87
45.27,131.10
44.90,127.15
44.60,129.40
44.93,130.55
44.50,129.67
44.38,131.17
44.33,129.47
44.08,131.13
